Source,ID,dn (cm),gamma ((rhoS-rho)/rho); submerged specific density,Kinematic viscsity (cm^2/s),reported w (cm/s)
H+S 1979 from Hallermeier 1981,88,0.112,0.794,0.015,8.9
H+S 1979 from Hallermeier 1981,89,0.112,0.857,0.014,9.45
H+S 1979 from Hallermeier 1981,90,0.16,0.739,0.016,8.87
H+S 1979 from Hallermeier 1981,91,0.16,0.794,0.015,10.4
H+S 1979 from Hallermeier 1981,92,0.16,0.857,0.014,11.5
H+S 1979 from Hallermeier 1981,93,0.204,0.739,0.016,10.3
H+S 1979 from Hallermeier 1981,94,0.204,0.794,0.015,11.9
H+S 1979 from Hallermeier 1981,95,0.204,0.857,0.014,12.3
Mi 1977 from Hellermeier 1981,96,0.138,0.59,0.01,8
Mi 1977 from Hellermeier 1981,97,0.167,0.4,0.01,6.5
Mi 1977 from Hellermeier 1981,98,0.111,1.6,0.01,12.4
Mi 1977 from Hellermeier 1981,99,0.178,0.59,0.01,9.8
Mi 1977 from Hellermeier 1981,100,0.222,0.4,0.01,8
Mi 1977 from Hellermeier 1981,101,0.222,0.59,0.01,11.6
Mi 1977 from Hellermeier 1981,102,0.167,1.6,0.01,17.7
Mi 1977 from Hellermeier 1981,103,0.221,1.6,0.01,21.9
Na 1970 from Hellermeier 1981,104,0.107,1.62,0.01,13.47
Nic 1970 from Hellermeier 1981,105,0.222,1.58,0.01,18.9
US 57 from Hellermeier 1981,106,0.133,1.65,0.0085,14.1
V 1958 from Hellermeier 1981,107,0.178,0.38,0.01,8.9
E+H 1967 from Hallermeier 1981,108,0.01,1.65,0.0131,0.5
E+H 1967 from Hallermeier 1981,109,0.01,1.65,0.01,0.62
E+H 1967 from Hallermeier 1981,110,0.014,1.65,0.0131,0.96
E+H 1967 from Hallermeier 1981,111,0.016,1.65,0.0131,1.46
E+H 1967 from Hallermeier 1981,112,0.014,1.65,0.01,1.64
Nie1970 from Hellermeier 1981,113,0.009,1.65,0.01,0.44
R 1938 from Hellermeier 1981,114,0.008,1.65,0.0084,0.6
V 1958 from Hellermeier 1981,115,0.011,1.65,0.01,0.8
Raudkivi 1990 (FIAC 1957),116,0.017,1.65,0.01,1.48
Raudkivi 1990 (FIAC 1957),117,0.022,1.65,0.01,2.11
Raudkivi 1990 (FIAC 1957),118,0.033,1.65,0.01,3.61
Raudkivi 1990 (FIAC 1957),119,0.044,1.65,0.01,5
Raudkivi 1990 (FIAC 1957),120,0.056,1.65,0.01,6.4
Raudkivi 1990 (FIAC 1957),121,0.067,1.65,0.01,7.64
Raudkivi 1990 (FIAC 1957),122,0.078,1.65,0.01,8.86
Raudkivi 1990 (FIAC 1957),123,0.089,1.65,0.01,9.9
Raudkivi 1990 (FIAC 1957),124,0.1,1.65,0.01,11
Raudkivi 1990 (FIAC 1957),125,0.111,1.65,0.01,12.1
Raudkivi 1990 (FIAC 1957),126,0.133,1.65,0.01,13.73
Raudkivi 1990 (FIAC 1957),127,0.167,1.65,0.01,16.6
Ferguson and Church (1994),128,0.008,1.65,0.0092,4.25
Ferguson and Church (1994),129,0.009,1.65,0.0092,0.6
Ferguson and Church (1994),130,0.011,1.65,0.0092,0.75
Ferguson and Church (1994),131,0.013,1.65,0.0092,1.1
Ferguson and Church (1994),132,0.015,1.65,0.0092,1.39
Ferguson and Church (1994),133,0.03,1.65,0.0092,3.88
Ferguson and Church (1994),134,0.043,1.65,0.0092,5.51
Ferguson and Church (1994),135,0.061,1.65,0.0092,7.29
Ferguson and Church (1994),136,0.086,1.65,0.0092,9.3
Ferguson and Church (1994),137,0.121,1.65,0.0092,14.1
Ferguson and Church (1994),138,0.242,1.65,0.0092,20.9
Ferguson and Church (1994),139,0.484,1.65,0.0092,30.7
Briggs et al 1952 5,140,0.042,2.97,0.01,6.6
Briggs et al 1952 63,141,0.031,2.97,0.01,5
Briggs et al 1952 64,142,0.037,2.97,0.01,6.5
Briggs et al 1952 65,143,0.027,2.97,0.01,3.9
Briggs et al 1952 66,144,0.03,2.97,0.01,4.7
Briggs et al 1952 67,145,0.013,2.97,0.01,1.4
Briggs et al 1952 68,146,0.025,2.97,0.01,3.4
Briggs et al 1952 69,147,0.032,2.97,0.01,5.4
Briggs et al 1952 70,148,0.032,2.97,0.01,5.8
Briggs et al 1952 71,149,0.036,2.97,0.01,4.8
Briggs et al 1952 72,150,0.022,2.97,0.01,3.3
Briggs et al 1952 73,151,0.013,2.97,0.01,1.5
Briggs et al 1952 75,152,0.039,2.97,0.01,7.8
Briggs et al 1952 76,153,0.03,2.97,0.01,5.3
Briggs et al 1952 77,154,0.019,2.97,0.01,1.7
Briggs et al 1952 78,155,0.02,2.97,0.01,3.1
Briggs et al 1952 79,156,0.012,2.97,0.01,1.4
Briggs et al 1952 81,157,0.011,2.97,0.01,1.5
Briggs et al 1952 82,158,0.034,2.97,0.01,6.3
Briggs et al 1952 84,159,0.013,2.97,0.01,1.8
Briggs et al 1952 8,160,0.034,2.66,0.01,3.4
Briggs et al 1952 23,161,0.028,2.66,0.01,3.5
Briggs et al 1952 86,162,0.018,2.66,0.01,2.2
Briggs et al 1952 89,163,0.028,2.66,0.01,2.9
Briggs et al 1952 90,164,0.027,2.66,0.01,3.3
Briggs et al 1952 91,165,0.028,2.66,0.01,3
Briggs et al 1952 93,166,0.021,2.66,0.01,2.1
Briggs et al 1952 94,167,0.013,2.66,0.01,1.3
Briggs et al 1952 95,168,0.022,2.66,0.01,2.4
Briggs et al 1952 96,169,0.018,2.66,0.01,2.2
Briggs et al 1952 97,170,0.011,2.66,0.01,1.2
Briggs et al 1952 98,171,0.021,2.66,0.01,2.3
Briggs et al 1952 99,172,0.02,2.66,0.01,2.1
Briggs et al 1952 101,173,0.018,2.66,0.01,1.2
Briggs et al 1952 102,174,0.015,2.66,0.01,1
Briggs et al 1952 103,175,0.026,2.66,0.01,2.9
Briggs et al 1952 104,176,0.017,2.66,0.01,1.9
Briggs et al 1952 106,177,0.016,2.66,0.01,1.8
Briggs et al 1952 107,178,0.018,2.66,0.01,2.2
Briggs et al 1952 108,179,0.038,2.66,0.01,6.2
Briggs et al 1952 109,180,0.049,2.66,0.01,6.7
Briggs et al 1952 110,181,0.047,2.66,0.01,6.8
Briggs et al 1952 111,182,0.029,2.66,0.01,4
Briggs et al 1952 112,183,0.036,2.66,0.01,5.1
Briggs et al 1952 113,184,0.033,2.66,0.01,3.8
Briggs et al 1952 14,185,0.021,2.19,0.01,2.6
Briggs et al 1952 29,186,0.015,2.19,0.01,1.3
Briggs et al 1952 114,187,0.018,2.19,0.01,2.3
Briggs et al 1952 115,188,0.029,2.19,0.01,3.9
Briggs et al 1952 116,189,0.048,2.19,0.01,6.2
Briggs et al 1952 117,190,0.026,2.19,0.01,3.2
Briggs et al 1952 118,191,0.02,2.19,0.01,2.3
Briggs et al 1952 120,192,0.012,2.19,0.01,1.3
Briggs et al 1952 121,193,0.018,2.19,0.01,2
Briggs et al 1952 122,194,0.012,2.19,0.01,1.2
Briggs et al 1952 124,195,0.023,2.19,0.01,3.3
Briggs et al 1952 125,196,0.026,2.19,0.01,3.1
Briggs et al 1952 126,197,0.027,2.19,0.01,3.2
Briggs et al 1952 127,198,0.041,2.19,0.01,5.3
Briggs et al 1952 128,199,0.043,2.19,0.01,6.4
Briggs et al 1952 129,200,0.046,2.19,0.01,6.3
Briggs et al 1952 130,201,0.05,2.19,0.01,7.9
Briggs et al 1952 131,202,0.025,2.19,0.01,3.4
Briggs et al 1952 132,203,0.039,2.19,0.01,5.2
Briggs et al 1952 133,204,0.036,2.19,0.01,4.8
Briggs et al 1952 9,205,0.035,4.07,0.01,7.1
Briggs et al 1952 24,206,0.022,4.07,0.01,4.2
Briggs et al 1952 134,207,0.041,4.07,0.01,9.5
Briggs et al 1952 135,208,0.038,4.07,0.01,8.3
Briggs et al 1952 136,209,0.038,4.07,0.01,8.3
