Source,ID,dn (cm),gamma ((rhoS-rho)/rho); submerged specific density,Kinematic viscsity (cm^2/s),reported w (cm/s)
Shultz 18,445,0.078,1.57,0.011,6.63
Shultz 19,446,0.072,1.57,0.011,7.14
Shultz 20,447,0.071,1.65,0.0113,9.44
Shultz 21,448,0.01,1.57,0.0113,9.53
Shultz 22,449,0.078,1.65,0.0113,6.92
Shultz 23,450,0.077,1.65,0.0113,8.55
Shultz 24,451,0.061,1.65,0.0113,5.58
Shultz 25,452,0.083,1.8,0.0113,7.29
Shultz 26,453,0.078,1.57,0.0109,7.96
Shultz 27,454,0.037,1.8,0.0109,3.35
Shultz 28,455,0.061,1.8,0.0109,6.17
Shultz 29,456,0.053,1.65,0.011,5.83
Shultz 30,457,0.065,1.65,0.011,6.45
Shultz 31,458,0.055,1.65,0.011,5.18
Shultz 32,459,0.051,1.65,0.0113,6.23
Shultz 33,460,0.063,1.65,0.0113,8.73
Shultz 34,461,0.055,1.65,0.0113,5.98
Shultz 35,462,0.061,1.57,0.0116,4.93
Shultz 36,463,0.079,1.57,0.0117,7.05
Shultz 37,464,0.42,1.65,0.101,3.85
Shultz 38,465,0.033,1.8,0.101,2.79
Shultz 39,466,0.026,1.8,0.01,3.01
Shultz 40,467,0.048,1.65,0.01,4.9
Shultz 41,468,0.033,1.65,0.01,3.32
Shultz 42,469,0.045,2,0.0101,4.07
Shultz 43,470,0.042,1.72,0.0101,3.42
Shultz 44,471,0.042,1.65,0.0102,4.14
Shultz 45,472,0.027,1.65,0.011,8.82
Shultz 46,473,0.035,1.65,0.011,4.12
Shultz 47,474,0.027,6.5,0.0114,3.63
Shultz 48,475,0.029,1.65,0.0113,2.93
Shultz 49,476,0.027,1.65,0.0112,2.85
Shultz 50,477,0.031,1.65,0.0112,3.7
Shultz 51,478,0.025,1.65,0.011,1.95
Shultz 52,479,0.02,1.8,0.0102,0.96
Shultz 53,480,0.02,1.54,0.0102,1.28
Shultz 54,481,0.025,1.65,0.0102,1.78
Shultz 55,482,0.024,1.65,0.0102,2.37
Shultz 56,483,0.024,6.5,0.0102,1.23
Shultz 57,484,0.025,1.57,0.0102,2.03
Shultz 58,485,0.025,2,0.0102,0.61
Shultz 59,486,0.148,1.65,0.0112,13.03
Shultz 60,487,0.127,1.65,0.0112,15.62
Shultz 61,488,0.139,1.65,0.0112,16.35
Shultz 62,489,1.38,1.65,0.011,15.96
Shultz 63,490,0.145,1.65,0.011,16.18
Shultz 64,491,0.139,1.65,0.011,16.04
Shultz 65,492,0.127,1.65,0.0108,10.36
Shultz 66,493,0.137,1.65,0.0108,15.78
Shultz 67,494,0.12,1.65,0.0108,13.82
Shultz 68,495,0.148,1.65,0.0108,16.2
Shultz 69,496,0.142,1.65,0.0106,15.95
Shultz 70,497,0.115,1.65,0.0106,12.26
Shultz 71,498,0.131,1.65,0.0106,13.58
Shultz 72,499,0.128,1.57,0.0106,15.05
Shultz 73,500,0.103,1.65,0.0105,9.65
Shultz 74,501,0.112,1.65,0.0105,11.88
Shultz 75,502,0.126,1.57,0.0105,12.02
Shultz 76,503,0.122,1.65,0.01,13.95
Shultz 77,504,0.117,1.65,0.01,14.65
Shultz 78,505,0.113,1.6,0.01,15.02
Shultz 79,506,0.12,1.65,0.01,13.98
Shultz 80,507,0.106,1.65,0.01,12.42
Shultz 81,508,0.088,1.65,0.01,8.89
Shultz 82,509,0.099,1.65,0.01,14.06
Shultz 83,510,0.089,1.57,0.011,9.38
Shultz 84,511,0.097,1.65,0.011,9.48
Shultz 85,512,0.093,1.65,0.011,9.57
Shultz 86,513,0.105,1.65,0.011,12.23
Shultz 87,514,0.106,1.65,0.011,12.06
Shultz 88,515,0.107,1.65,0.011,14.98
Shultz 89,516,0.091,1.65,0.0112,10.17
Shultz 90,517,0.092,1.65,0.0112,11.92
Shultz 91,518,0.087,1.65,0.011,9.1
Shultz 92,519,0.076,1.65,0.011,10.56
Shultz 93,520,0.076,1.65,0.011,8.65
Shultz 94,521,0.074,1.65,0.0108,7.65
Shultz 95,522,0.082,4,0.0108,5.8
Shultz 96,523,0.077,1.57,0.0106,9.87
Shultz 97,524,0.098,1.65,0.0106,11.25
Shultz 98,525,0.066,1.65,0.011,9
Shultz 99,526,0.062,1.65,0.011,6.25
Shultz 100,527,0.072,1.65,0.011,8.6
Shultz 101,528,0.069,1.65,0.0108,9.15
Shultz 102,529,0.062,1.65,0.0108,7.28
Shultz 103,530,0.07,1.65,0.0108,8.2
Shultz 104,531,0.087,1.65,0.0108,9.3
Shultz 105,532,0.072,1.65,0.011,7.8
Shultz 106,533,0.078,1.65,0.011,6.69
Shultz 107,534,0.075,1.65,0.011,8.8
Shultz 108,535,0.062,1.65,0.011,5.95
Shultz 109,536,0.062,1.65,0.011,8.93
Shultz 110,537,0.065,1.65,0.0108,9.02
Shultz 111,538,0.064,1.57,0.0108,7
Shultz 112,539,0.064,1.65,0.0108,8.52
Shultz 113,540,0.07,1.65,0.0108,7.15
Shultz 114,541,0.053,1.65,0.0106,7
Shultz 115,542,0.055,1.65,0.0106,6.05
Shultz 116,543,0.057,1.65,0.0106,6.39
Shultz 117,544,0.045,1.65,0.0103,5.08
Shultz 118,545,0.048,1.65,0.0103,5.01
Shultz 119,546,0.032,1.65,0.0103,3.15
Shultz 120,547,0.042,1.65,0.0103,4.55
Shultz 121,548,0.032,1.65,0.0101,3.34
Shultz 122,549,0.045,1.65,0.0101,4.45
Shultz 123,550,0.042,1.65,0.0101,4.3
Shultz 124,551,0.032,1.65,0.0101,3.42
Shultz 125,552,0.048,1.65,0.0101,6.55
Shultz 126,553,0.048,1.65,0.0101,6.2
Shultz 127,554,0.032,1.65,0.01,3.4
Shultz 128,555,0.045,1.65,0.01,3.7
Shultz 129,556,0.042,1.65,0.01,6.05
Shultz 130,557,0.045,1.65,0.01,6.1
Shultz 131,558,0.038,1.65,0.01,3.38
Shultz 132,559,0.045,1.65,0.01,6.3
Shultz 133,560,0.038,1.65,0.0101,4.25
Shultz 134,561,0.038,1.65,0.0101,4.25
Shultz 135,562,0.042,1.65,0.0101,4.45
Shultz 136,563,0.045,1.65,0.0101,5.2
Shultz 137,564,0.032,1.65,0.011,3.75
Shultz 138,565,0.032,1.65,0.011,3.1
Shultz 139,566,0.038,1.65,0.0108,3.3
Shultz 140,567,0.032,1.65,0.0108,2.91
Shultz 141,568,0.038,1.65,0.0108,4.25
Shultz 142,569,0.032,1.65,0.0106,4.07
Shultz 143,570,0.032,1.65,0.0106,2.8
Shultz 144,571,0.038,1.65,0.0106,5.75
Shultz 145,572,0.038,1.65,0.0106,3.65
Shultz 146,573,0.032,1.65,0.0106,3.1
Shultz 147,574,0.028,1.65,0.011,2.48
Shultz 148,575,0.024,1.65,0.011,1.86
Shultz 149,576,0.026,1.65,0.0108,2.2
Shultz 150,577,0.025,1.65,0.0108,1.75
Shultz 151,578,0.023,1.65,0.0106,1.6
Shultz 152,579,0.024,1.65,0.0106,1.12
Shultz 153,580,0.021,1.65,0.0106,1.68
Shultz 154,581,0.023,1.65,0.011,2.27
Shultz 155,582,0.022,1.65,0.011,2.08
Shultz 156,583,0.019,1.65,0.01,1.92
Shultz 157,584,0.025,1.65,0.01,2.86
Shultz 158,585,0.027,1.65,0.01,2.53
Shultz 159,586,0.025,1.65,0.01,1.72
Wilde 1,587,2.81,1.62,0.0099,76.2
Wilde 2,588,2.27,1.62,0.0099,77.7
Wilde 3,589,2,1.63,0.0096,37.2
Wilde 4,590,2.05,1.65,0.01,49.1
Wilde 5,591,2.18,1.65,0.01,48.8
Wilde 6,592,1.32,1.58,0.0102,34.8
Wilde 7,593,1.48,1.64,0.0103,34.2
Wilde 8,594,0.82,1.61,0.0099,33.2
Wilde 9,595,0.92,1.64,0.0099,29.2
Wilde 10,596,0.92,1.65,0.0096,41.8
Wilde 11,597,0.79,1.65,0.01,43.3
Wilde 12,598,1.15,1.65,0.01,46.3
Wilde 13,599,1.43,1.66,0.0093,51.2
Wilde 14,600,1.43,1.61,0.01,30.2
Wilde 15,601,1.15,1.61,0.0096,27.4
Wilde 17,602,1.24,1.42,0.0093,42.4
Wilde 18,603,1.05,1.63,0.0098,39.6
Wilde 19,604,1.19,1.61,0.0098,47.2
Wilde 20,605,1.64,1.95,0.0099,51.8
Wilde 21,606,1.65,1.65,0.0099,52.7
Wilde 24,607,1.33,1.58,0.0098,50.3
Wilde 25,608,1.27,1.6,0.0096,49.1
Wilde 26,609,1.1,1.58,0.0098,28
Wilde 27,610,2.01,1.6,0.0098,56.7
Wilde 28,611,1.23,1.7,0.0096,33.5
Wilde 29,612,1.11,1.62,0.0096,45.7
Wilde 30,613,1.41,1.89,0.0098,53.1
Wilde 31,614,1.36,1.6,0.0093,63.7
Wilde 32,615,1.21,1.65,0.0098,40.3
Wilde 33,616,1.42,1.65,0.0098,41.8
Wilde 34,617,1.38,1.65,0.0095,43.6
Wilde 35,618,1.65,1.57,0.0098,39
Wilde 36,619,1.54,1.64,0.0096,50.3
Wilde 37,620,1.12,1.58,0.0098,39
Wilde 38,621,1.3,2.05,0.0098,38.7
Wilde 39,622,1.4,1.58,0.0096,45.1
Wilde 40,623,2.14,1.59,0.0098,70.4
Wilde 41,624,1.37,1.65,0.0098,80.8
Wilde 42,625,1.78,1.63,0.0096,50.6
Wilde 44,626,2.27,1.95,0.0096,52.7
Wilde 45,627,1.66,1.58,0.0098,47.3
Wilde 46,628,1.06,1.65,0.0098,38.1
Wilde 48,629,0.77,1.57,0.0098,39.7
Wilde 49,630,1.12,1.59,0.0098,42.1
Wilde 50,631,1.45,1.63,0.0098,60.4
Wilde 52,632,1.12,1.64,0.0093,44.2
Wilde 53,633,1.06,1.67,0.0096,42.1
Wilde 54,634,1.5,1.65,0.0098,55.5
Wilde 55,635,1.12,1.62,0.0093,39
Wilde 56,636,1.28,1.64,0.0098,36.6
Wilde 58,637,0.59,1.6,0.0098,23.2
Wilde 59,638,0.7,1.63,0.0098,36
Wilde 60,639,1.32,1.63,0.0096,55.1
Wilde 61,640,1.2,1.63,0.0098,44.8
Wilde 62,641,0.99,1.6,0.0098,42.7
Wilde 63,642,1.42,1.51,0.0098,75.5
Wilde 64,643,1.53,1.5,0.0096,76.5
Wilde 65,644,1.64,1.49,0.0098,80.5
Wilde 70,645,2.1,1.62,0.0109,68.5
Wilde 71,646,2.22,1.61,0.0109,70
Wilde 72,647,2.23,1.6,0.0109,68.7
Wilde 73,648,2.35,1.64,0.0109,53.6
Wilde 74,649,2.47,1.61,0.0109,77.2
Wilde 75,650,2.06,1.57,0.0109,69.7
Wilde 76,651,2.53,1.66,0.0109,64.3
Wilde 77,652,2.17,1.71,0.0109,39.1
Wilde 78,653,2.56,1.65,0.0109,69
Wilde 79,654,2.01,1.62,0.0109,60.9
Wilde 80,655,1.66,1.63,0.0109,54.8
Wilde 81,656,1.88,1.65,0.0109,48.8
Wilde 82,657,1.73,1.64,0.0109,48
Wilde 83,658,1.96,1.59,0.0109,54.4
Wilde 84,659,1.9,1.7,0.0109,64.2
Wilde 85,660,1.67,1.65,0.0109,70.5
Wilde 86,661,1.73,1.62,0.0109,52.5
Wilde 87,662,1.73,1.59,0.0109,61.3
Wilde 88,663,1.8,1.6,0.0109,63.5
Wilde 89,664,1.82,1.67,0.0109,53.8
Wilde 90,665,1.32,1.64,0.0109,36.4
Wilde 91,666,1.22,1.62,0.0109,47.1
Wilde 92,667,1.36,1.56,0.0109,45.3
Wilde 93,668,0.99,1.61,0.0109,34.5
Wilde 94,669,1.06,1.94,0.0109,41.6
Wilde 95,670,1.43,1.67,0.0109,50.4
Wilde 96,671,1.1,1.77,0.0109,30.5
Wilde 98,672,1.22,1.69,0.0109,46.2
Wilde 99,673,1.06,1.74,0.0109,30
Wilde 100,674,0.62,1.56,0.0109,18.8
Wilde 104,675,0.69,1.58,0.0109,32.5
Wilde 105,676,0.76,1.58,0.0109,41.8
Wilde 106,677,0.79,1.58,0.0109,39
Wilde 107,678,0.66,1.7,0.0109,32.5
Wilde 108,679,0.61,1.6,0.0109,30.3
Wilde 109,680,0.7,1.63,0.0109,30.3
Wilde 110,681,0.48,1.62,0.0109,32.1
Wilde 111,682,0.4,1.63,0.0109,27.4
Wilde 112,683,0.36,1.69,0.0109,19.5
Wilde 113,684,0.5,1.59,0.0109,25.5
Wilde 114,685,0.41,1.58,0.0109,23.3
Wilde 116,686,0.52,1.6,0.0109,25.3
Wilde 117,687,0.44,1.54,0.0109,25.9
Wilde 119,688,0.35,1.54,0.0109,25.6
Wilde 120,689,2.57,1.66,0.0111,58.1
Wilde 122,690,1.87,1.67,0.0111,36.1
Wilde 123,691,2.07,1.62,0.0111,52.7
Wilde 124,692,1.64,1.63,0.0111,62.5
Wilde 125,693,2,1.6,0.0111,40
Wilde 126,694,2.18,1.59,0.0111,48
Wilde 127,695,2.39,1.69,0.0111,61
Wilde 128,696,2.05,1.69,0.0111,52
Wilde 129,697,1.8,1.69,0.0062,53.5
Wilde 130,698,1.7,1.65,0.0062,45.5
Wilde 131,699,1.41,1.67,0.0062,48
Wilde 132,700,1.69,1.66,0.0062,47
Wilde 133,701,1.51,1.6,0.0062,40.9
Wilde 134,702,1.9,1.62,0.0062,50.3
Wilde 135,703,1.62,1.62,0.0062,41.4
Wilde 137,704,1.65,1.66,0.0062,36
Wilde 138,705,1.43,1.65,0.0062,37
Wilde 139,706,1.65,1.44,0.0056,49
Wilde 140,707,1.25,1.66,0.0056,39
Wilde 141,708,0.87,1.64,0.0056,29.7
Wilde 143,709,0.83,1.63,0.0056,41.7
Wilde 144,710,1.06,1.65,0.0056,36.9
Wilde 145,711,1.14,1.64,0.0056,30.7
Wilde 146,712,0.87,1.67,0.0056,21.7
Wilde 148,713,1.02,1.7,0.0056,26.5
Wilde 149,714,0.92,1.62,0.0046,28
Wilde 150,715,0.67,1.62,0.0111,32.3
Wilde 151,716,0.79,1.63,0.0111,32
Wilde 152,717,0.84,1.75,0.0111,37
Wilde 154,718,0.68,1.67,0.0111,27.6
Wilde 155,719,0.77,1.65,0.0111,29.6
Wilde 156,720,0.73,1.63,0.0111,37.3
Wilde 157,721,0.64,1.66,0.0111,18.9
Wilde 158,722,0.56,1.65,0.0111,25.7
Wilde 159,723,0.62,1.67,0.0059,32.5
Wilde 160,724,2.27,1.77,0.0107,61.5
Wilde 161,725,2.73,1.6,0.0107,65.5
Wilde 162,726,2.64,1.64,0.0107,81.5
Wilde 163,727,2.07,1.6,0.0107,68.5
Wilde 164,728,2.82,1.78,0.0107,80
Wilde 165,729,2.5,1.61,0.0107,68
Wilde 166,730,1.96,1.67,0.0107,61.2
Wilde 167,731,2.54,1.68,0.0107,74.3
Wilde 168,732,1.45,1.66,0.0107,45.4
Wilde 170,733,1.44,1.65,0.0107,49.5
Wilde 171,734,1.45,1.64,0.0107,57.5
Wilde 172,735,1.92,1.64,0.0107,53
Wilde 173,736,1.8,1.62,0.0107,54
Wilde 174,737,1.49,1.65,0.0107,42.6
Wilde 175,738,1.88,1.66,0.0107,53.2
Wilde 176,739,1.52,1.68,0.0107,54.5
Wilde 177,740,1.82,1.65,0.0107,59
Wilde 178,741,1.05,1.65,0.0107,45
Wilde 180,742,1.3,1.62,0.0107,42.8
Wilde 181,743,1.23,1.65,0.0107,37.4
Wilde 182,744,1.17,1.63,0.0107,49
Wilde 183,745,1.33,1.7,0.0107,54
Wilde 184,746,1.18,1.66,0.0107,36.5
Wilde 185,747,1.02,1.6,0.0107,39
Wilde 186,748,1.31,1.67,0.0107,51.2
Wilde 187,749,1.44,1.69,0.0107,48.2
Wilde 188,750,1.39,1.64,0.0107,45.5
Wilde 189,751,0.89,1.6,0.0107,43.2
Wilde 191,752,0.69,1.65,0.0107,34.3
Wilde 193,753,0.64,1.66,0.0107,30.7
Wilde 194,754,0.72,1.66,0.0107,35.1
Wilde 195,755,0.73,1.69,0.0107,33.2
Wilde 196,756,0.59,1.55,0.0107,29
Wilde 197,757,0.89,1.59,0.0107,34
Wilde 198,758,0.9,1.62,0.0107,35.6
Wilde 199,759,2.81,1.62,0.6,85.7
Wilde Oil 1,760,2.27,1.62,0.6,77
Wilde Oil 2,761,2,1.63,0.6,43.1
Wilde Oil 3,762,2.05,1.65,0.6,56
Wilde Oil 4,763,1.32,1.58,0.6,38.4
Wilde Oil 6,764,1.48,1.64,0.6,37.8
Wilde Oil 7,765,0.82,1.61,0.6,26.8
Wilde Oil 8,766,0.92,1.64,0.6,29
Wilde Oil 9,767,0.92,1.65,0.6,32.6
Wilde Oil 10,768,0.79,1.65,0.6,27.2
Wilde Oil 11,769,1.15,1.65,0.6,41.3
Wilde Oil 12,770,1.43,1.66,0.6,50.5
Wilde Oil 13,771,1.43,1.61,0.6,36
Wilde Oil 14,772,1.15,1.61,0.6,28.6
Wilde Oil 15,773,0.52,1.67,0.6,13.4
Wilde Oil 16,774,1.24,1.42,0.6,38.8
Wilde Oil 17,775,1.05,1.63,0.6,33.9
Wilde Oil 18,776,1.19,1.61,0.6,45.7
Wilde Oil 19,777,1.65,1.65,0.6,58.9
Wilde Oil 21,778,0.8,1.65,0.6,33
Wilde Oil 22,779,1.33,1.58,0.6,43.2
Wilde Oil 24,780,1.27,1.6,0.6,45.6
Wilde Oil 25,781,1.1,1.58,0.6,25.8
Wilde Oil 26,782,2.01,1.6,0.6,57.1
Wilde Oil 27,783,1.23,1.7,0.6,35.7
Wilde Oil 28,784,1.11,1.62,0.6,39.2
Wilde Oil 29,785,1.36,1.6,0.6,50.9
Wilde Oil 31,786,1.21,1.65,0.6,39.9
Wilde Oil 32,787,1.42,1.65,0.6,41.8
Wilde Oil 33,788,1.38,1.65,0.6,45.5
Wilde Oil 34,789,1.65,1.57,0.6,41.9
Wilde Oil 35,790,1.54,1.64,0.6,55.5
Wilde Oil 36,791,1.12,1.58,0.6,29.1
Wilde Oil 37,792,1.4,1.58,0.6,49.3
Wilde Oil 39,793,2.14,1.59,0.6,71
Wilde Oil 40,794,1.37,1.65,0.6,42.5
Wilde Oil 41,795,1.78,1.63,0.6,50.5
Wilde Oil 42,796,2.14,1.59,0.6,71.5
Wilde Oil 43,797,2.27,1.95,0.6,58.8
Wilde Oil 44,798,1.66,1.58,0.6,55
Wilde Oil 45,799,1.06,1.65,0.6,35.6
Wilde Oil 46,800,0.77,1.57,0.6,27.8
Wilde Oil 48,801,1.12,1.59,0.6,27.4
Wilde Oil 49,802,1.45,1.63,0.6,50.5
Wilde Oil 50,803,1.12,1.64,0.6,38.3
Wilde Oil 52,804,1.06,1.67,0.6,38.2
Wilde Oil 53,805,1.12,1.62,0.6,38.8
Wilde Oil 55,806,1.28,1.64,0.6,36.8
Wilde Oil 56,807,0.59,1.6,0.6,16.7
Wilde Oil 58,808,0.7,1.63,0.6,25.2
Wilde Oil 59,809,1.32,1.63,0.6,43.9
Wilde Oil 60,810,1.2,1.63,0.6,39.7
Wilde Oil 61,811,0.99,1.6,0.6,37.1
Wilde Oil 62,812,1.42,1.51,0.6,57.8
Wilde Oil 63,813,1.53,1.5,0.6,62.5
Wilde Oil 64,814,1.64,1.49,0.6,66
Wilde Oil 65,815,2.1,1.62,0.92,69
Wilde Oil 70,816,2.22,1.61,0.92,64.5
Wilde Oil 71,817,2.35,1.64,0.92,58.1
Wilde Oil 73,818,2.47,1.61,0.92,74
Wilde Oil 74,819,2.06,1.57,0.92,62.5
Wilde Oil 75,820,2.53,1.66,0.92,74
Wilde Oil 76,821,2.17,1.71,0.92,49.7
Wilde Oil 77,822,2.56,1.65,0.92,69.5
Wilde Oil 78,823,2.01,1.62,0.92,51.3
Wilde Oil 79,824,1.66,1.63,0.92,49.7
Wilde Oil 80,825,1.88,1.65,0.92,54
Wilde Oil 81,826,1.73,1.64,0.92,52.6
Wilde Oil 82,827,1.96,1.59,0.92,52.6
Wilde Oil 83,828,1.9,1.7,0.92,64.5
Wilde Oil 84,829,1.67,1.65,0.92,57.1
Wilde Oil 85,830,1.73,1.62,0.92,54
Wilde Oil 86,831,1.73,1.59,0.92,55.6
Wilde Oil 87,832,1.82,1.67,0.92,52.6
Wilde Oil 89,833,1.36,1.56,0.92,44.5
Wilde Oil 92,834,0.99,1.61,0.92,28.2
Wilde Oil 93,835,1.06,1.94,0.92,37.7
Wilde Oil 94,836,1.1,1.77,0.92,34.5
Wilde Oil 96,837,1.15,1.59,0.92,36.6
Wilde Oil 97,838,1.22,1.69,0.92,38.6
Wilde Oil 98,839,1.06,1.74,0.92,27.6
Wilde Oil 99,840,0.62,1.56,0.92,14.2
Wilde Oil 100,841,0.81,1.67,0.92,18.9
Wilde Oil 101,842,0.56,1.59,0.92,16.3
Wilde Oil 102,843,0.7,1.67,0.92,23.7
Wilde Oil 103,844,0.69,1.58,0.92,20.9
Wilde Oil 104,845,0.76,1.58,0.92,23.5
Wilde Oil 105,846,0.79,1.58,0.92,23.6
Wilde Oil 106,847,0.61,1.6,0.92,17.2
Wilde Oil 108,848,0.7,1.63,0.92,19.8
Wilde Oil 109,849,0.48,1.62,0.92,14.2
Wilde Oil 110,850,0.4,1.63,0.92,11.8
Wilde Oil 111,851,0.5,1.59,0.92,13.5
Wilde Oil 113,852,0.41,1.58,0.92,10.6
Wilde Oil 114,853,0.43,1.52,0.92,10.7
Wilde Oil 115,854,0.52,1.6,0.92,13.7
Wilde Oil 116,855,0.44,1.54,0.92,11.1
Wilde Oil 117,856,0.46,1.6,0.92,11.5
Wilde Oil 118,857,0.35,1.54,0.92,9.06
Wilde Oil 119,858,2.57,1.66,0.92,66.2
Wilde Oil 120,859,2.29,1.63,0.92,60.6
Wilde Oil 121,860,1.87,1.67,0.92,42.2
Wilde Oil 122,861,2.07,1.62,0.92,55.6
Wilde Oil 123,862,2,1.6,0.92,43.5
Wilde Oil 125,863,2.18,1.59,0.92,54
Wilde Oil 126,864,2.39,1.69,0.92,59.9
Wilde Oil 127,865,2.05,1.69,0.92,57.4
Wilde Oil 128,866,1.8,1.69,0.92,50.5
Wilde Oil 129,867,1.41,1.67,0.92,37.8
Wilde Oil 131,868,1.69,1.66,0.92,37
Wilde Oil 132,869,1.51,1.6,0.92,40.4
Wilde Oil 133,870,1.62,1.62,0.92,43.5
Wilde Oil 135,871,1.43,1.65,0.92,37.8
Wilde Oil 138,872,1.65,1.44,0.92,46.3
Wilde Oil 139,873,1.25,1.66,0.92,32.2
Wilde Oil 140,874,0.87,1.64,0.92,20.6
Wilde Oil 141,875,1.06,1.65,0.92,27.4
Wilde Oil 144,876,1.14,1.64,0.92,19.6
Wilde Oil 145,877,0.87,1.67,0.92,20.4
Wilde Oil 146,878,1,1.64,0.92,32.6
Wilde Oil 147,879,1.02,1.7,0.92,24
Wilde Oil 148,880,0.92,1.62,0.92,22.2
Wilde Oil 149,881,0.67,1.62,0.92,20.3
Wilde Oil 150,882,0.79,1.63,0.92,22.8
Wilde Oil 151,883,0.77,1.65,0.92,20.8
Wilde Oil 155,884,0.73,1.63,0.92,22
Wilde Oil 156,885,0.64,1.66,0.92,14
Wilde Oil 157,886,0.56,1.65,0.92,16.3
Wilde Oil 158,887,0.62,1.67,0.92,20.1
Wilde Oil 159,888,1.98,1.63,0.6,69.5
Wilde Oil 160,889,2.73,1.6,0.6,77
Wilde Oil 162,890,2.64,1.64,0.6,80
Wilde Oil 163,891,2.07,1.6,0.6,66.7
Wilde Oil 164,892,2.82,1.78,0.6,100
Wilde Oil 165,893,2.5,1.61,0.6,71.5
Wilde Oil 166,894,2.54,1.68,0.6,64.5
Wilde Oil 168,895,1.44,1.65,0.6,47.6
Wilde Oil 171,896,1.45,1.64,0.6,51.3
Wilde Oil 172,897,1.8,1.62,0.6,55.9
Wilde Oil 174,898,1.49,1.65,0.6,47
Wilde Oil 175,899,1.88,1.66,0.6,62
Wilde Oil 176,900,1.52,1.68,0.6,55.2
Wilde Oil 177,901,1.82,1.65,0.6,58.9
Wilde Oil 178,902,1.63,1.58,0.6,55.6
Wilde Oil 179,903,1.05,1.65,0.6,40
Wilde Oil 180,904,1.3,1.62,0.6,39.4
Wilde Oil 181,905,1.23,1.65,0.6,39.7
Wilde Oil 182,906,1.17,1.63,0.6,42.9
Wilde Oil 183,907,1.33,1.7,0.6,49.7
Wilde Oil 184,908,1.18,1.66,0.6,37.3
Wilde Oil 185,909,1.02,1.6,0.6,31.8
Wilde Oil 186,910,1.31,1.67,0.6,47.5
Wilde Oil 187,911,1.44,1.69,0.6,49.7
Wilde Oil 188,912,1.39,1.64,0.6,43.9
Wilde Oil 189,913,0.89,1.6,0.6,32.2
Wilde Oil 190,914,0.64,1.66,0.6,21
Wilde Oil 191,915,0.72,1.66,0.6,22.7
Wilde Oil 194,916,0.73,1.69,0.6,24.8
Wilde Oil 195,917,0.59,1.55,0.6,19.3
Wilde Oil 196,918,0.89,1.59,0.6,31.7
Wilde Oil 197,919,0.9,1.62,0.6,31.1
Wilde Oil 198,920,2.44,1.93,7,21.4
Wilde Oil 199,921,2.62,1.91,7,24.4
Alger 2 (100G),922,3.28,1.57,7,35.2
Alger 3 (100G),923,2.99,1.59,7,31.7
Alger 4 (100G),924,3.06,1.96,7,37.4
Alger 5(100G),925,3.31,1.98,7,40.2
Alger 6 (100G),926,3.24,1.59,7,33.8
Alger 7 (100G),927,3.28,1.63,7,36.1
Alger 9 (100G),928,2.44,1.93,1.3,40.1
Alger 10 (100G),929,2.62,1.91,1.3,46.1
Alger 2 (90G),930,3.28,1.57,1.3,68.5
Alger 3 (90G),931,2.99,1.59,1.3,63.2
Alger 4 (90G),932,3.06,1.96,1.3,67.6
Alger 5 (90G),933,3.31,1.98,1.3,67.1
Alger 6 (90G),934,3.24,1.59,1.3,62.3
Alger 7 ((90G),935,3.28,1.63,1.3,70
Alger 9 (90G),936,2.44,1.93,0.8,39.4
Alger 10 (90G),937,2.62,1.91,0.8,48.8
Alger 2 (85G),938,3.28,1.57,0.8,77.7
Alger 3 (85G),939,2.99,1.59,0.8,71.5
Alger 4(85G),940,3.06,1.96,0.8,75.3
Alger 5(85G),941,3.31,1.98,0.8,71.9
Alger 6(85G),942,3.24,1.59,0.8,69
Alger 7(85G),943,3.28,1.63,0.8,73.4
Alger 9(85G),944,2.44,1.93,0.23,42
Alger 10(85G),945,2.62,1.91,0.23,51.5
Alger 2 (70G),946,3.28,1.57,0.23,94.3
Alger 3(70G),947,2.99,1.59,0.23,85
Alger 4(70G),948,3.06,1.96,0.23,85.9
Alger 5(70G),949,3.31,1.98,0.23,81.2
Alger 6(70G),950,3.24,1.59,0.23,80.1
Alger 7(70G),951,3.28,1.63,0.23,81.3
Alger 9(70G),952,2.44,1.93,0.09,44.8
Alger 10(70G),953,2.62,1.91,0.09,55.5
Alger 2 (55G),954,3.28,1.57,0.09,95.3
Alger 3(55G),955,2.99,1.59,0.09,86.1
Alger 4(55G),956,3.06,1.96,0.1,88.5
Alger 5(55G),957,3.31,1.98,0.09,87.6
Alger 6(55G),958,3.24,1.59,0.09,92.6
Alger 7(55G),959,3.28,1.63,0.1,96
Alger 9(55G),960,2.44,1.93,0.04,45.4
Alger 10(55G),961,2.62,1.91,0.04,50.5
Alger 2 (40G),962,3.28,1.57,0.04,98
Alger 3 (40G),963,2.99,1.59,0.04,82.4
Alger 4 (40G),964,3.06,1.96,0.04,81.5
Alger 5 (40G),965,3.31,1.98,0.04,82.5
Alger 6 (40G),966,3.24,1.59,0.04,86.5
Alger 7 (40G),967,3.28,1.63,0.04,85
Alger 9 (40G),968,2.44,1.93,0.014,47.7
Alger 10 (40G),969,2.62,1.91,0.014,55.6
Alger 2 (8W),970,3.28,1.57,0.014,111
Alger 3 (8W),971,2.99,1.59,0.014,99
Alger 4 (8W),972,3.06,1.96,0.014,81.5
Alger 5 (8W),973,3.31,1.98,0.014,86.5
